Endereco,Lat,Lng
"ASSIS BRASIL & MAJOR DIONÍSIO DORNELES, Porto Alegre, RS, Brasil","-29,9846288","-51,118466"
"ASSIS BRASIL & OLIVEIRA LOPES, Porto Alegre, RS, Brasil","-29,9928726","-51,1282618"
"ASSIS BRASIL & PEDESTRE BC PRÓX. FERNANDO FERRARI, Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE CB PRÓX. FERNANDO FERRARI, Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE DEF. Nº 3931 BC (PRÓX. BENNO MENTZ), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 1532 (PRÓX. SOROCABA), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 1673 (PRÓX. TUPI), Porto Alegre, RS, Brasil","-29,9782673","-51,1160964"
"ASSIS BRASIL & PEDESTRE Nº 1971 CB (PRÓX. JARI), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 2183 CB (PRÓX. ITAPEVA), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 2561 CB (PRÓX. ANTÔNIO JOAQUIM MESQUITA), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 2611 CB (PRÓX. SHOPPING BOURBON WALLIG), Porto Alegre, RS, Brasil","-30,0082749","-51,1815382"
"ASSIS BRASIL & PEDESTRE Nº 2728 BC (PRÓX. DOMINGOS RUBBO), Porto Alegre, RS, Brasil","-30,0092227","-51,1568865"
"ASSIS BRASIL & PEDESTRE Nº 29 CB (PRÓX. LUZITANA), Porto Alegre, RS, Brasil","-30,0082749","-51,1815382"
"ASSIS BRASIL & PEDESTRE Nº 30 BC (PRÓX. LUZITANA), Porto Alegre, RS, Brasil","-30,0082749","-51,1815382"
"ASSIS BRASIL & PEDESTRE Nº 3205 CB (PRÓX. DOM DIOGO DE SOUZA), Porto Alegre, RS, Brasil","-30,013829","-51,1547123"
"ASSIS BRASIL & PEDESTRE Nº 3220 BC (PRÓX. DOM DIOGO DE SOUZA), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & PEDESTRE Nº 3956 BC (ANTES BENNO MENTZ), Porto Alegre, RS, Brasil","-30,0190502","-51,1474707"
