id,situacao,nome,geojson,acidentes_10m,acidentes_20m,acidentes_50m,acidentes_100m,acidentes_200m
40,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1196974366361,-30.0196994696279],[-51.1186384282148,-30.0197669571452]]]}",0,0,0,0,1
41,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1186384282148,-30.0197669571452],[-51.1177823104325,-30.0197925334297]]]}",0,0,0,0,0
42,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1177823104325,-30.0197925334297],[-51.1171503434225,-30.0198100109709]]]}",0,0,0,0,0
43,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1171503434225,-30.0198100109709],[-51.1170573792913,-30.0198134768456]]]}",0,0,0,0,0
44,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1170573792913,-30.0198134768456],[-51.1166234906557,-30.0198273929437]]]}",0,0,0,0,1
45,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1166234906557,-30.0198273929437],[-51.1160083658434,-30.0198437231278]]]}",0,0,0,0,1
46,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1160083658434,-30.0198437231278],[-51.1154544622194,-30.0198588692162]]]}",0,0,0,1,1
47,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1154544622194,-30.0198588692162],[-51.1150244620228,-30.0198739041555]]]}",0,0,0,1,1
48,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1150244620228,-30.0198739041555],[-51.1146723755897,-30.0198967636441],[-51.1142225084878,-30.0199603002767]]]}",0,0,0,1,1
49,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1142225084878,-30.0199603002767],[-51.113873402952,-30.0200406622368]]]}",0,0,0,0,1
50,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1122445558464,-30.0205077585379],[-51.1116765018678,-30.0206187466985]]]}",0,0,0,0,0
51,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1129194174128,-30.0203188725373],[-51.1122445558464,-30.0205077585379]]]}",0,0,0,0,0
52,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1116765018678,-30.0206187466985],[-51.1105565380123,-30.0207955970978],[-51.1098465429788,-30.0208570820081]]]}",0,0,0,0,0
53,CONCLUIDO,VASCO DA GAMA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2124007773633,-30.031638718037],[-51.2109156705115,-30.0316974866421]]]}",0,0,0,0,0
54,CONCLUIDO,VASCO DA GAMA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2071207412642,-30.0321038104364],[-51.2058187590006,-30.032364072389]]]}",0,0,0,0,0
55,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2223615666247,-30.034935122203],[-51.2220516093103,-30.0349029453888]]]}",0,0,0,2,2
56,CONCLUIDO,TIRADENTES,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2042110687645,-30.0374272072901],[-51.2041968921745,-30.037544498743],[-51.2041490249603,-30.0377430290176]]]}",0,0,0,0,0
57,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2308523479904,-30.0374992954596],[-51.2306034173522,-30.0375921942818],[-51.2303934084405,-30.0377041940048],[-51.2302133971417,-30.0378285435938]]]}",0,0,0,0,0
58,CONCLUIDO,IPIRANGA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2069158365273,-30.0441919043578],[-51.2061797637471,-30.0437589382728]]]}",0,0,0,0,1
59,CONCLUIDO,ERICO VERISSIMO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2209394947602,-30.0438578818393],[-51.2204745666817,-30.0441608555556],[-51.2202955682824,-30.0443145075833]]]}",0,0,0,1,1
60,CONCLUIDO,DR NILO PECANHA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1781143703418,-30.0286259320676],[-51.1772974152286,-30.0283913685329]]]}",0,0,0,0,0
61,CONCLUIDO,DR NILO PECANHA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1791452550465,-30.0289233446244],[-51.1781143703418,-30.0286259320676]]]}",0,0,0,0,0
