Endereco_detalhado,Lat,Lng,acidentes_10m,acidentes_20m,acidentes_50m,acidentes_100m,acidentes_200m,acidentes_500m,acidentes_1000m
"Av. Pres.Castelo Branco I/C  , Porto Alegre, RS, Brasil",-30.008868900000003,-51.210824200000005,0,0,0,1,21,54,278
"Av. Pres. Castelo Branco Km  C/I 1 , Porto Alegre, RS, Brasil",-30.008868900000003,-51.210824200000005,0,0,0,1,21,54,278
"Av. Protasio Alves 7777 , Porto Alegre, RS, Brasil",-30.042073699999996,-51.1330902,0,0,0,0,16,55,131
"Av. Protasio Alves  7777 , Porto Alegre, RS, Brasil",-30.042073699999996,-51.1330902,0,0,0,0,16,55,131
"Av. Protasio Alves 10564 , Porto Alegre, RS, Brasil",-30.0408282,-51.1072206,0,0,0,0,11,26,49
"Av. Protasio Alves 10835 , Porto Alegre, RS, Brasil",-30.041488,-51.105219,0,0,0,0,12,21,45
"Av. Senador Tarso Dutra N/S  , Porto Alegre, RS, Brasil",-30.0437408,-51.1757448,0,0,0,0,1,65,292
"Av. Wenceslau Escobar 1657 , Porto Alegre, RS, Brasil",-30.1034119,-51.2523221,0,0,0,7,15,46,143
"Rua Silva Só  280 , Porto Alegre, RS, Brasil",-30.040526300000003,-51.203863500000004,0,0,2,7,55,202,717
"Rua Silva Só  269 , Porto Alegre, RS, Brasil",-30.0403597,-51.2041814,0,1,2,8,18,203,716
"Edvaldo Pereira Paiva  , Porto Alegre, RS, Brasil",-30.057637800000002,-51.2335471,0,0,0,0,0,55,170
"Edvaldo Pereira Paiva  , Porto Alegre, RS, Brasil",-30.057637800000002,-51.2335471,0,0,0,0,0,55,170
